id,surname,forename,initials,age_text,honours,date_of_death,date_of_death2,rank,regiment,secondary_regiment,unitshipsquadron,country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation,
2335746,THOMAS,GEORGE E.,G E,31,,15/08/1944,,Private,"Canadian Scottish Regiment, R.C.I.C.",,,France,'K/57749',BRETTEVILLE-SUR-LAIZE CANADIAN WAR CEMETERY,XVII. A. 15.,"Son of William James Thomas and Alice Thomas, of Maynard's Green, Sussex, England."
2335747,THOMAS,HERMAN FLETCHER,H F,23,,30/07/1944,,Private,"Essex Scottish Regiment, R.C.I.C.",,,France,'A/50597',BRETTEVILLE-SUR-LAIZE CANADIAN WAR CEMETERY,III. H. 15.,"Son of Eli and Jessie Thomas, of Forest, Ontario."
2335748,THOMAS,ROBERT A.,R A,26,,10/08/1944,,Lance Corporal,"Highland Light Infantry of Canada, R.C.I.C.",,,France,'A/38217',BRETTEVILLE-SUR-LAIZE CANADIAN WAR CEMETERY,IX. H. 11.,"Son of Abraham and Margaret Thomas, of Kitchener, Ontario."
2448076,THOMAS,THOMAS WATTS,T W,,,22/03/1946,,Captain,Royal Canadian Artillery,,,United Kingdom,,"LLANHENOG (ST. JOHN THE BAPTIST) CHURCHYARD, LLANHENNOCK FAWR",S.E. part.,
2457459,THOMAS,KENNETH BRANT,K B,25,,12/09/1943,,Flying Officer,Royal Canadian Air Force,,,United Kingdom,'J/20595',"BOWMORE NEW PARISH CHURCHYARD, ISLE OF ISLAY",Grave 642.,
2458649,THOMAS,LLOYD GEORGE DENNIS,L G D,19,,23/05/1942,,Pilot Officer,Royal Canadian Air Force,,404 Sqdn.,United Kingdom,'J/15219',DYCE OLD CHURCHYARD,Grave 23.,"Son of Gordon and Olive Thomas, of Hamilton, Ontario, Canada."
2606795,THOMAS,FREDERICK HENRY,F H,26,,20/06/1944,,Trooper,"6th Duke of Connaught's Royal Canadian Hussars, R.C.A.C.",,5th Cdn Armd Div H Q Sqn,Italy,'D/113',MINTURNO WAR CEMETERY,"IV, K, 14.","Son of Eleazer and Frances Thomas, of Montreal, Province of Quebec, Canada."
2613127,THOMAS,ANDREW HAMILTON,A H,23,,23/05/1944,,Private,"Hastings and Prince Edward Regiment, R.C.I.C.",,,Italy,'E/52897',CASSINO WAR CEMETERY,XIII. B. 21.,"Son of George Thomas and of Alice Thomas (nee Tuck), of Bonne Esperance, Saguenay Co., Province of Quebec, Canada."
2613129,THOMAS,EDWARD ISAAC,E I,21,,17/05/1944,,Gunner,Royal Canadian Artillery,,2 Field Regt.,Italy,'H/103528',CASSINO WAR CEMETERY,XIII. A. 7.,"Son of Albert and Nellie Thomas, of Holmfield, Manitoba, Canada."
2624202,THOMAS,ROBERT,R,,,14/05/1944,,Pilot Officer,Royal Canadian Air Force,,433 Sqdn.,United Kingdom,'J/86485',HARROGATE (STONEFALL) CEMETERY,Sec. B. Row C. Grave 6.,
2635031,THOMAS,LLEWELLYN MORGANOG,L M,,,11/05/1945,,Leading Aircraftman,Royal Canadian Air Force,,,Netherlands,'R/251263',ROTTERDAM (CROOSWIJK) GENERAL CEMETERY,Plot LL. Row 2. Grave 63.,"Son of John Anthony and Annie Thomas; stepson of Katharine Thomas, of Toronto, Ontario, Canada."
2641027,THOMAS,,A H,35,,03/09/1944,,Chief Engineer Officer,Canadian Merchant Navy,,"S.S. Livingstone (Newcastle-on-Tyne, England).",Canada,,HALIFAX MEMORIAL,Panel 23.,"Son of Fred V. and Elsie Thomas, of Barry, Glamorgan, Wales; husband of Gestiana Thomas, of Victoria. British Columbia."
2641028,THOMAS,ARTHUR,A,37,,14/10/1942,,Fireman,Canadian Merchant Navy,,"S.S. Caribou (St. John's, Newfoundland).",Canada,,HALIFAX MEMORIAL,Panel 22.,"Son of William Thomas and of Mary Thomas (nee White), of Port aux Basques, Newfoundland; husband of Margaret Thomas (nee Mead), of Hermitage Cove, Newfoundland."
2641029,THOMAS,CHARLES,C,23,,01/03/1942,31/03/1942,Ordinary Seaman,Canadian Merchant Navy,,S.S. Ingerto (Norway).,Canada,,HALIFAX MEMORIAL,Panel 22.,"Son of Mr. and Mrs. Hugh Thomas, of New Glasgow, Nova Scotia."
2641030,THOMAS,GEORGE ALBERT,G A,32,,14/10/1942,,Fireman,Canadian Merchant Navy,,"S.S. Caribou (St. John's, Newfoundland).",Canada,,HALIFAX MEMORIAL,Panel 22.,"Son of William and Mary Thomas, of Port aux Basques, Newfoundland; husband of Clara Thomas (Janes), of Port aux Basques, Newfoundland."
2641031,THOMAS,JAMES EDWARD,J E,20,,07/09/1942,,Sub-Lieutenant,Royal Canadian Naval Volunteer Reserve,,H.M.C.S. Raccoon.,Canada,,HALIFAX MEMORIAL,Panel 8.,"Son of Capt. Edward Arnold Thomas, and of Katie W. Thomas, of Saint John, New Brunswick."
2641032,THOMAS,PERCY JACK,P J,20,,07/09/1942,,Ordinary Signalman,Royal Canadian Naval Volunteer Reserve,,H.M.C.S. Raccoon.,Canada,'V/27122',HALIFAX MEMORIAL,Panel 9.,"Son of Reginald Francis and Emily Jane Thomas, of Toronto, Ontario."
2641033,THOMAS,ROGER CHARLES,R C,21,,24/11/1944,,Telegraphist,Royal Canadian Naval Volunteer Reserve,,H.M.C.S. Shawinigan.,Canada,'V/16696',HALIFAX MEMORIAL,Panel 12.,"Son of Roger Alexander and Edith Thomas, of Sault Ste. Marie, Ontario."
2642366,THOMAS,SYLVESTRE,S,24,,25/10/1944,,Private,"Algonquin Regiment, R.C.I.C.",,,Netherlands,'G/57183',BERGEN-OP-ZOOM CANADIAN WAR CEMETERY,11. B. 9.,"Son of Xavier Thomas and of Sara Thomas (nee Hebert), of Upper Tilley Rd., Gloucester Co., New Brunswick."
2661657,THOMAS,JOHN RUSSELL,J R,,,21/09/1944,,Flying Officer,Royal Canadian Air Force,,620 (R.A.F.) Sqdn,Netherlands,'J/29874',ARNHEM OOSTERBEEK WAR CEMETERY,21. C. 15.,
2687735,THOMAS,KENNETH GRAHAM,K G,24,,20/09/1944,,Lance Corporal,Royal Canadian Army Service Corps,,,Canada,'C/121687',HULL (ST. JAMES'S) CEMETERY,Plot 59.N.E. Lot 320. Grave 63.,"Son of Sydney George and Irene H. Thomas, of Ottawa, Ontario."
2763699,THOMAS,ARTHUR ROY,A R,21,,13/06/1942,,Sergeant,Royal Canadian Air Force,,407 Sqdn.,United Kingdom,'R/64925',GREAT BIRCHAM (ST. MARY) CHURCHYARD,Plot 1. Row 3. Grave 8.,"Son of Walter E. Thomas and Blanche M. Thomas, of St. Andrews, Charlotte Co., New Brunswick, Canada."
2850142,THOMAS,RONALD ANTHONY,R A,28,,19/06/1945,,Sergeant,Royal Canadian Air Force,,,Canada,'4240',MANNVILLE NEW CEMETERY,Lot 1. Block O.,"Son of Harry and Mary Thomas, of Mannville; husband of Louise Thomas, of Peace River."
2850604,THOMAS,NORMAN LLEWELLYN WATSON,N L W,27,,29/06/1941,,Lance Corporal,Canadian Provost Corps,,,Canada,'L/22694',MOOSOMIN NORTH CEMETERY,Plot 209.,"Son of Edward Owen Thomas and Julia Thomas, of Moosomin."
2850860,THOMAS,MAX,M,23,,15/09/1946,,Flying Officer,Royal Canadian Air Force,,,Canada,'J/92977',SASKATOON (WOODLAWN) CEMETERY,Block K. Lot 121. Grave 12955.,"Son of B. Eugenie Thomas, of Saskatoon."
2929181,THOMAS,LEONARD GUY,L G,24,,07/08/1943,,Sapper,Royal Canadian Engineers,,,United Kingdom,'P/10767',BROOKWOOD MILITARY CEMETERY,45. D. 6.,"Son of Lawrence Thomas, and of Elena Thomas, of Halifax Nova Scotia, Canada."
2929182,THOMAS,NELSON,N,35,,13/09/1941,,Private,Royal Canadian Army Medical Corps,,23  Field Amb,United Kingdom,'C/31215',BROOKWOOD MILITARY CEMETERY,31. I. 2.,Son of Frank and Josephine Thomas.
2929183,THOMAS,WILLIAM EVANS,W E,24,,12/08/1945,,Flight Lieutenant,Royal Canadian Air Force,,3 (R.A.F.) Sqdn,United Kingdom,'J/14456',BROOKWOOD MILITARY CEMETERY,61. D. 2.,"Son of Harding Pierce Thomas and Elizabeth Florence Evans Thomas of Toronto, Ontario, Canada; husband of Ruth Burton Thomas, of Toronto."
2953582,THOMAS,MALCOLM BLAKE,M B,19,,27/09/1945,,Private,Royal Canadian Infantry Corps,,,Canada,'F/69698',HAMMONDS PLAINS BAPTIST CEMETERY,,"Son of E. Blake Thomas and Nellie B. Thomas, of Hammonds Plains."
2953724,THOMAS,LESLIE EDMUND,L E,21,,08/01/1943,,Sergeant,Royal Canadian Air Force,,,Canada,'R/104036',SACKVILLE (ST. JOHN'S) CEMETERY,Family Plot.,"Son of Edmund N. Thomas and Violet Grace Thomas, of Lower Sackville."
2953738,THOMAS,DAVID MORGAN,D M,35,,11/10/1943,,Sapper,Royal Canadian Engineers,,,Canada,'F/65915',SPRINGHILL (HILLSIDE) CEMETERY,Lot 100.,"Brother of Fred Thomas, of Springhill."
